Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2022	1.004.686
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2021	1.011.792
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2020	1.018.784
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2019	1.022.800
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2018	1.028.244
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2017	1.034.960
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2016	1.042.608
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2015	1.051.229
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2014	1.061.756
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2013	1.068.165
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2012	1.077.360
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2011	1.081.487
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2010	1.084.341
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2009	1.085.289
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2008	1.080.138
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.074.862
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.076.896
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.076.635
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.073.761
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.075.381
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.073.971
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.075.329
Total Nacional	03 Asturias, Principado de	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.076.567
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2022	1.176.659
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2021	1.173.008
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2020	1.171.543
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2019	1.149.460
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2018	1.128.908
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2017	1.115.999
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2016	1.107.220
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2015	1.104.479
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2014	1.103.442
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2013	1.111.674
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2012	1.119.439
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2011	1.113.114
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2010	1.106.049
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2009	1.095.426
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2008	1.072.844
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.030.650
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.001.062
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2005	983.131
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2004	955.045
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2003	947.361
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2002	916.968
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2001	878.627
Total Nacional	04 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2000	845.630
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.177.701
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.172.944
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.175.952
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.153.389
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2018	2.127.685
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2017	2.108.121
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2016	2.101.924
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2015	2.100.306
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2014	2.104.815
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2013	2.118.679
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2012	2.118.344
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2011	2.126.769
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2010	2.118.519
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2009	2.103.992
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2008	2.075.968
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2007	2.025.951
Total Nacional	05 Canarias	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.995.833
