Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2022;807.913
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2020;792.785
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2018;747.296
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2016;759.283
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2014;774.668
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2013;758.263
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2012;792.450
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2011;793.125
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2010;802.301
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2009;867.854
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2008;861.264
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2007;879.369
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2006;912.082
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2005;1.021.494
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2004;979.756
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2003;935.912
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2002;878.851
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2001;858.157
Total Nacional;01 Andalucía;Volumen de agua suministrada a la red de abastecimiento público;2000;820.608
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2022;600.727
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2020;571.979
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2018;544.382
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2016;540.794
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2014;557.113
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2013;547.493
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2012;576.176
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2011;577.958
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2010;586.083
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2009;634.697
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2008;664.876
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2007;674.428
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2006;765.376
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2005;839.417
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2004;784.226
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2003;737.567
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2002;702.959
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2001;694.716
Total Nacional;01 Andalucía;1. Volumen total de agua registrada y distribuida por tipo de usuario;2000;667.280
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2022;207.185
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2020;220.806
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2018;202.914
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2016;218.489
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2014;217.555
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2013;210.770
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2012;216.274
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2011;215.167
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2010;216.218
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2009;233.157
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2008;196.388
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2007;204.941
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2006;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2005;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2004;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2003;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2002;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2001;..
Total Nacional;01 Andalucía;2. Volumen de agua no registrada;2000;..
Total Nacional;01 Andalucía;- Pérdidas reales;2022;136.981
Total Nacional;01 Andalucía;- Pérdidas reales;2020;129.604
Total Nacional;01 Andalucía;- Pérdidas reales;2018;123.777
Total Nacional;01 Andalucía;- Pérdidas reales;2016;157.749
Total Nacional;01 Andalucía;- Pérdidas reales;2014;151.636
Total Nacional;01 Andalucía;- Pérdidas reales;2013;142.059
Total Nacional;01 Andalucía;- Pérdidas reales;2012;125.439
Total Nacional;01 Andalucía;- Pérdidas reales;2011;143.965
Total Nacional;01 Andalucía;- Pérdidas reales;2010;136.217
Total Nacional;01 Andalucía;- Pérdidas reales;2009;146.889
Total Nacional;01 Andalucía;- Pérdidas reales;2008;135.508
Total Nacional;01 Andalucía;- Pérdidas reales;2007;127.445
Total Nacional;01 Andalucía;- Pérdidas reales;2006;146.706
Total Nacional;01 Andalucía;- Pérdidas reales;2005;182.077
Total Nacional;01 Andalucía;- Pérdidas reales;2004;195.530
Total Nacional;01 Andalucía;- Pérdidas reales;2003;198.345
Total Nacional;01 Andalucía;- Pérdidas reales;2002;175.892
Total Nacional;01 Andalucía;- Pérdidas reales;2001;163.441
Total Nacional;01 Andalucía;- Pérdidas reales;2000;153.328
Total Nacional;01 Andalucía;- Pérdidas aparentes;2022;70.205
Total Nacional;01 Andalucía;- Pérdidas aparentes;2020;91.202
Total Nacional;01 Andalucía;- Pérdidas aparentes;2018;79.137
Total Nacional;01 Andalucía;- Pérdidas aparentes;2016;60.740
Total Nacional;01 Andalucía;- Pérdidas aparentes;2014;65.919
Total Nacional;01 Andalucía;- Pérdidas aparentes;2013;68.711
Total Nacional;01 Andalucía;- Pérdidas aparentes;2012;90.835
Total Nacional;01 Andalucía;- Pérdidas aparentes;2011;71.202
Total Nacional;01 Andalucía;- Pérdidas aparentes;2010;80.001
Total Nacional;01 Andalucía;- Pérdidas aparentes;2009;86.268
Total Nacional;01 Andalucía;- Pérdidas aparentes;2008;60.880
Total Nacional;01 Andalucía;- Pérdidas aparentes;2007;77.496
Total Nacional;01 Andalucía;- Pérdidas aparentes;2006;..
Total Nacional;01 Andalucía;- Pérdidas aparentes;2005;..
Total Nacional;01 Andalucía;- Pérdidas aparentes;2004;..
Total Nacional;01 Andalucía;- Pérdidas aparentes;2003;..
Total Nacional;01 Andalucía;- Pérdidas aparentes;2002;..
