Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;06 Cantabria;Aguas superficiales;2006;23.140
Total Nacional;06 Cantabria;Aguas superficiales;2005;62.654
Total Nacional;06 Cantabria;Aguas superficiales;2004;57.437
Total Nacional;06 Cantabria;Aguas superficiales;2003;71.865
Total Nacional;06 Cantabria;Aguas superficiales;2002;74.590
Total Nacional;06 Cantabria;Aguas superficiales;2001;68.636
Total Nacional;06 Cantabria;Aguas superficiales;2000;72.531
Total Nacional;06 Cantabria;Aguas subterráneas;2022;3.285
Total Nacional;06 Cantabria;Aguas subterráneas;2020;16.480
Total Nacional;06 Cantabria;Aguas subterráneas;2018;18.259
Total Nacional;06 Cantabria;Aguas subterráneas;2016;21.591
Total Nacional;06 Cantabria;Aguas subterráneas;2014;5.502
Total Nacional;06 Cantabria;Aguas subterráneas;2013;25.384
Total Nacional;06 Cantabria;Aguas subterráneas;2012;26.585
Total Nacional;06 Cantabria;Aguas subterráneas;2011;27.795
Total Nacional;06 Cantabria;Aguas subterráneas;2010;36.401
Total Nacional;06 Cantabria;Aguas subterráneas;2009;45.705
Total Nacional;06 Cantabria;Aguas subterráneas;2008;5.283
Total Nacional;06 Cantabria;Aguas subterráneas;2007;6.560
Total Nacional;06 Cantabria;Aguas subterráneas;2006;1.969
Total Nacional;06 Cantabria;Aguas subterráneas;2005;3.056
Total Nacional;06 Cantabria;Aguas subterráneas;2004;6.235
Total Nacional;06 Cantabria;Aguas subterráneas;2003;8.311
Total Nacional;06 Cantabria;Aguas subterráneas;2002;3.666
Total Nacional;06 Cantabria;Aguas subterráneas;2001;8.286
Total Nacional;06 Cantabria;Aguas subterráneas;2000;4.250
Total Nacional;06 Cantabria;Desalación;2022;0
Total Nacional;06 Cantabria;Desalación;2020;0
Total Nacional;06 Cantabria;Desalación;2018;0
Total Nacional;06 Cantabria;Desalación;2016;0
Total Nacional;06 Cantabria;Desalación;2014;0
Total Nacional;06 Cantabria;Desalación;2013;0
Total Nacional;06 Cantabria;Desalación;2012;0
Total Nacional;06 Cantabria;Desalación;2011;0
Total Nacional;06 Cantabria;Desalación;2010;0
Total Nacional;06 Cantabria;Desalación;2009;0
Total Nacional;06 Cantabria;Desalación;2008;0
Total Nacional;06 Cantabria;Desalación;2007;0
Total Nacional;06 Cantabria;Desalación;2006;0
Total Nacional;06 Cantabria;Desalación;2005;0
Total Nacional;06 Cantabria;Desalación;2004;0
Total Nacional;06 Cantabria;Desalación;2003;0
Total Nacional;06 Cantabria;Desalación;2002;0
Total Nacional;06 Cantabria;Desalación;2001;0
Total Nacional;06 Cantabria;Desalación;2000;0
Total Nacional;07 Castilla y León;Total;2022;268.211
Total Nacional;07 Castilla y León;Total;2020;230.607
Total Nacional;07 Castilla y León;Total;2018;213.609
Total Nacional;07 Castilla y León;Total;2016;315.365
Total Nacional;07 Castilla y León;Total;2014;340.776
Total Nacional;07 Castilla y León;Total;2013;393.211
Total Nacional;07 Castilla y León;Total;2012;332.531
Total Nacional;07 Castilla y León;Total;2011;342.737
Total Nacional;07 Castilla y León;Total;2010;326.171
Total Nacional;07 Castilla y León;Total;2009;312.727
Total Nacional;07 Castilla y León;Total;2008;242.010
Total Nacional;07 Castilla y León;Total;2007;209.024
Total Nacional;07 Castilla y León;Total;2006;246.166
Total Nacional;07 Castilla y León;Total;2005;256.304
Total Nacional;07 Castilla y León;Total;2004;271.036
Total Nacional;07 Castilla y León;Total;2003;318.827
Total Nacional;07 Castilla y León;Total;2002;271.564
Total Nacional;07 Castilla y León;Total;2001;264.040
Total Nacional;07 Castilla y León;Total;2000;261.795
Total Nacional;07 Castilla y León;Aguas superficiales;2022;205.908
Total Nacional;07 Castilla y León;Aguas superficiales;2020;194.651
Total Nacional;07 Castilla y León;Aguas superficiales;2018;182.375
Total Nacional;07 Castilla y León;Aguas superficiales;2016;286.281
Total Nacional;07 Castilla y León;Aguas superficiales;2014;316.019
Total Nacional;07 Castilla y León;Aguas superficiales;2013;370.835
Total Nacional;07 Castilla y León;Aguas superficiales;2012;308.537
Total Nacional;07 Castilla y León;Aguas superficiales;2011;322.115
Total Nacional;07 Castilla y León;Aguas superficiales;2010;303.817
Total Nacional;07 Castilla y León;Aguas superficiales;2009;278.879
Total Nacional;07 Castilla y León;Aguas superficiales;2008;194.282
Total Nacional;07 Castilla y León;Aguas superficiales;2007;143.973
Total Nacional;07 Castilla y León;Aguas superficiales;2006;196.055
Total Nacional;07 Castilla y León;Aguas superficiales;2005;193.537
Total Nacional;07 Castilla y León;Aguas superficiales;2004;192.470
Total Nacional;07 Castilla y León;Aguas superficiales;2003;228.765
Total Nacional;07 Castilla y León;Aguas superficiales;2002;236.794
Total Nacional;07 Castilla y León;Aguas superficiales;2001;231.964
Total Nacional;07 Castilla y León;Aguas superficiales;2000;230.177
Total Nacional;07 Castilla y León;Aguas subterráneas;2022;62.303
Total Nacional;07 Castilla y León;Aguas subterráneas;2020;35.956
Total Nacional;07 Castilla y León;Aguas subterráneas;2018;31.234
Total Nacional;07 Castilla y León;Aguas subterráneas;2016;29.084
Total Nacional;07 Castilla y León;Aguas subterráneas;2014;24.757
Total Nacional;07 Castilla y León;Aguas subterráneas;2013;22.376
Total Nacional;07 Castilla y León;Aguas subterráneas;2012;23.994
Total Nacional;07 Castilla y León;Aguas subterráneas;2011;20.622
Total Nacional;07 Castilla y León;Aguas subterráneas;2010;22.354
Total Nacional;07 Castilla y León;Aguas subterráneas;2009;33.848
Total Nacional;07 Castilla y León;Aguas subterráneas;2008;47.728
Total Nacional;07 Castilla y León;Aguas subterráneas;2007;65.051
Total Nacional;07 Castilla y León;Aguas subterráneas;2006;50.111
Total Nacional;07 Castilla y León;Aguas subterráneas;2005;62.767
Total Nacional;07 Castilla y León;Aguas subterráneas;2004;78.566
Total Nacional;07 Castilla y León;Aguas subterráneas;2003;90.062
Total Nacional;07 Castilla y León;Aguas subterráneas;2002;34.770
Total Nacional;07 Castilla y León;Aguas subterráneas;2001;32.076
Total Nacional;07 Castilla y León;Aguas subterráneas;2000;31.618
Total Nacional;07 Castilla y León;Desalación;2022;0
Total Nacional;07 Castilla y León;Desalación;2020;0
Total Nacional;07 Castilla y León;Desalación;2018;0
Total Nacional;07 Castilla y León;Desalación;2016;0
Total Nacional;07 Castilla y León;Desalación;2014;0
Total Nacional;07 Castilla y León;Desalación;2013;0
Total Nacional;07 Castilla y León;Desalación;2012;0
Total Nacional;07 Castilla y León;Desalación;2011;0
Total Nacional;07 Castilla y León;Desalación;2010;0
Total Nacional;07 Castilla y León;Desalación;2009;0
Total Nacional;07 Castilla y León;Desalación;2008;0
Total Nacional;07 Castilla y León;Desalación;2007;0
Total Nacional;07 Castilla y León;Desalación;2006;0
Total Nacional;07 Castilla y León;Desalación;2005;0
Total Nacional;07 Castilla y León;Desalación;2004;0
Total Nacional;07 Castilla y León;Desalación;2003;0
Total Nacional;07 Castilla y León;Desalación;2002;0
Total Nacional;07 Castilla y León;Desalación;2001;0
Total Nacional;07 Castilla y León;Desalación;2000;0
Total Nacional;08 Castilla - La Mancha;Total;2022;202.045
Total Nacional;08 Castilla - La Mancha;Total;2020;131.445
Total Nacional;08 Castilla - La Mancha;Total;2018;138.189
Total Nacional;08 Castilla - La Mancha;Total;2016;102.584
Total Nacional;08 Castilla - La Mancha;Total;2014;138.146
Total Nacional;08 Castilla - La Mancha;Total;2013;147.903
Total Nacional;08 Castilla - La Mancha;Total;2012;135.389
Total Nacional;08 Castilla - La Mancha;Total;2011;147.780
Total Nacional;08 Castilla - La Mancha;Total;2010;188.302
Total Nacional;08 Castilla - La Mancha;Total;2009;228.535
Total Nacional;08 Castilla - La Mancha;Total;2008;201.899
Total Nacional;08 Castilla - La Mancha;Total;2007;202.008
Total Nacional;08 Castilla - La Mancha;Total;2006;196.514
Total Nacional;08 Castilla - La Mancha;Total;2005;203.566
Total Nacional;08 Castilla - La Mancha;Total;2004;204.371
Total Nacional;08 Castilla - La Mancha;Total;2003;210.704
Total Nacional;08 Castilla - La Mancha;Total;2002;162.963
Total Nacional;08 Castilla - La Mancha;Total;2001;194.800
Total Nacional;08 Castilla - La Mancha;Total;2000;209.151
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2022;106.383
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2020;77.013
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2018;68.288
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2016;40.486
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2014;60.636
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2013;64.646
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2012;67.674
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2011;87.672
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2010;112.459
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2009;117.433
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2008;115.493
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2007;120.451
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2006;113.307
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2005;122.919
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2004;111.597
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2003;122.267
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2002;108.212
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2001;137.215
Total Nacional;08 Castilla - La Mancha;Aguas superficiales;2000;160.469
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2022;95.661
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2020;54.432
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2018;69.901
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2016;62.098
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2014;77.510
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2013;83.257
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2012;67.715
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2011;60.108
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2010;75.843
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2009;111.102
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2008;86.406
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2007;81.557
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2006;83.207
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2005;80.647
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2004;92.774
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2003;88.437
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2002;54.751
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2001;57.585
Total Nacional;08 Castilla - La Mancha;Aguas subterráneas;2000;48.682
Total Nacional;08 Castilla - La Mancha;Desalación;2022;0
Total Nacional;08 Castilla - La Mancha;Desalación;2020;0
Total Nacional;08 Castilla - La Mancha;Desalación;2018;0
Total Nacional;08 Castilla - La Mancha;Desalación;2016;0
Total Nacional;08 Castilla - La Mancha;Desalación;2014;0
Total Nacional;08 Castilla - La Mancha;Desalación;2013;0
Total Nacional;08 Castilla - La Mancha;Desalación;2012;0
Total Nacional;08 Castilla - La Mancha;Desalación;2011;0
Total Nacional;08 Castilla - La Mancha;Desalación;2010;0
Total Nacional;08 Castilla - La Mancha;Desalación;2009;0
Total Nacional;08 Castilla - La Mancha;Desalación;2008;0
Total Nacional;08 Castilla - La Mancha;Desalación;2007;0
Total Nacional;08 Castilla - La Mancha;Desalación;2006;0
Total Nacional;08 Castilla - La Mancha;Desalación;2005;0
Total Nacional;08 Castilla - La Mancha;Desalación;2004;0
Total Nacional;08 Castilla - La Mancha;Desalación;2003;0
Total Nacional;08 Castilla - La Mancha;Desalación;2002;0
Total Nacional;08 Castilla - La Mancha;Desalación;2001;0
Total Nacional;08 Castilla - La Mancha;Desalación;2000;0
Total Nacional;09 Cataluña;Total;2022;310.693
Total Nacional;09 Cataluña;Total;2020;338.873
Total Nacional;09 Cataluña;Total;2018;342.028
Total Nacional;09 Cataluña;Total;2016;349.615
Total Nacional;09 Cataluña;Total;2014;337.839
Total Nacional;09 Cataluña;Total;2013;361.223
Total Nacional;09 Cataluña;Total;2012;374.318
Total Nacional;09 Cataluña;Total;2011;349.767
Total Nacional;09 Cataluña;Total;2010;363.331
Total Nacional;09 Cataluña;Total;2009;333.537
Total Nacional;09 Cataluña;Total;2008;359.880
Total Nacional;09 Cataluña;Total;2007;379.267
Total Nacional;09 Cataluña;Total;2006;469.113
Total Nacional;09 Cataluña;Total;2005;408.721
Total Nacional;09 Cataluña;Total;2004;441.987
Total Nacional;09 Cataluña;Total;2003;459.409
Total Nacional;09 Cataluña;Total;2002;535.523
Total Nacional;09 Cataluña;Total;2001;586.560
Total Nacional;09 Cataluña;Total;2000;592.703
Total Nacional;09 Cataluña;Aguas superficiales;2022;134.234
Total Nacional;09 Cataluña;Aguas superficiales;2020;150.458
Total Nacional;09 Cataluña;Aguas superficiales;2018;150.866
Total Nacional;09 Cataluña;Aguas superficiales;2016;156.219
Total Nacional;09 Cataluña;Aguas superficiales;2014;145.636
Total Nacional;09 Cataluña;Aguas superficiales;2013;139.797
Total Nacional;09 Cataluña;Aguas superficiales;2012;154.852
Total Nacional;09 Cataluña;Aguas superficiales;2011;168.635
Total Nacional;09 Cataluña;Aguas superficiales;2010;168.516
Total Nacional;09 Cataluña;Aguas superficiales;2009;155.717
Total Nacional;09 Cataluña;Aguas superficiales;2008;175.702
Total Nacional;09 Cataluña;Aguas superficiales;2007;175.558
Total Nacional;09 Cataluña;Aguas superficiales;2006;213.547
Total Nacional;09 Cataluña;Aguas superficiales;2005;209.710
Total Nacional;09 Cataluña;Aguas superficiales;2004;305.779
Total Nacional;09 Cataluña;Aguas superficiales;2003;245.772
Total Nacional;09 Cataluña;Aguas superficiales;2002;347.936
Total Nacional;09 Cataluña;Aguas superficiales;2001;388.864
Total Nacional;09 Cataluña;Aguas superficiales;2000;377.725
Total Nacional;09 Cataluña;Aguas subterráneas;2022;176.459
Total Nacional;09 Cataluña;Aguas subterráneas;2020;188.415
Total Nacional;09 Cataluña;Aguas subterráneas;2018;191.162
Total Nacional;09 Cataluña;Aguas subterráneas;2016;193.396
Total Nacional;09 Cataluña;Aguas subterráneas;2014;192.203
Total Nacional;09 Cataluña;Aguas subterráneas;2013;221.426
Total Nacional;09 Cataluña;Aguas subterráneas;2012;219.466
Total Nacional;09 Cataluña;Aguas subterráneas;2011;181.132
Total Nacional;09 Cataluña;Aguas subterráneas;2010;194.815
Total Nacional;09 Cataluña;Aguas subterráneas;2009;177.820
Total Nacional;09 Cataluña;Aguas subterráneas;2008;184.178
Total Nacional;09 Cataluña;Aguas subterráneas;2007;202.548
Total Nacional;09 Cataluña;Aguas subterráneas;2006;253.653
Total Nacional;09 Cataluña;Aguas subterráneas;2005;192.098
Total Nacional;09 Cataluña;Aguas subterráneas;2004;136.208
Total Nacional;09 Cataluña;Aguas subterráneas;2003;213.637
Total Nacional;09 Cataluña;Aguas subterráneas;2002;187.587
Total Nacional;09 Cataluña;Aguas subterráneas;2001;197.696
Total Nacional;09 Cataluña;Aguas subterráneas;2000;214.978
Total Nacional;09 Cataluña;Desalación;2022;0
Total Nacional;09 Cataluña;Desalación;2020;0
Total Nacional;09 Cataluña;Desalación;2018;0
Total Nacional;09 Cataluña;Desalación;2016;0
Total Nacional;09 Cataluña;Desalación;2014;0
Total Nacional;09 Cataluña;Desalación;2013;0
Total Nacional;09 Cataluña;Desalación;2012;0
Total Nacional;09 Cataluña;Desalación;2011;0
Total Nacional;09 Cataluña;Desalación;2010;0
Total Nacional;09 Cataluña;Desalación;2009;0
Total Nacional;09 Cataluña;Desalación;2008;0
Total Nacional;09 Cataluña;Desalación;2007;1.161
Total Nacional;09 Cataluña;Desalación;2006;1.913
Total Nacional;09 Cataluña;Desalación;2005;6.913
Total Nacional;09 Cataluña;Desalación;2004;0
Total Nacional;09 Cataluña;Desalación;2003;0
Total Nacional;09 Cataluña;Desalación;2002;0
Total Nacional;09 Cataluña;Desalación;2001;0
Total Nacional;09 Cataluña;Desalación;2000;0
Total Nacional;10 Comunitat Valenciana;Total;2022;283.485
Total Nacional;10 Comunitat Valenciana;Total;2020;350.462
Total Nacional;10 Comunitat Valenciana;Total;2018;357.494
Total Nacional;10 Comunitat Valenciana;Total;2016;429.249
Total Nacional;10 Comunitat Valenciana;Total;2014;309.838
Total Nacional;10 Comunitat Valenciana;Total;2013;311.943
Total Nacional;10 Comunitat Valenciana;Total;2012;295.133
Total Nacional;10 Comunitat Valenciana;Total;2011;291.395
Total Nacional;10 Comunitat Valenciana;Total;2010;432.398
Total Nacional;10 Comunitat Valenciana;Total;2009;457.767
Total Nacional;10 Comunitat Valenciana;Total;2008;566.963
Total Nacional;10 Comunitat Valenciana;Total;2007;511.297
Total Nacional;10 Comunitat Valenciana;Total;2006;444.084
Total Nacional;10 Comunitat Valenciana;Total;2005;376.879
Total Nacional;10 Comunitat Valenciana;Total;2004;422.698
Total Nacional;10 Comunitat Valenciana;Total;2003;488.781
Total Nacional;10 Comunitat Valenciana;Total;2002;447.854
Total Nacional;10 Comunitat Valenciana;Total;2001;445.714
Total Nacional;10 Comunitat Valenciana;Total;2000;462.956
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2022;122.200
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2020;117.962
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2018;105.341
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2016;176.516
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2014;48.342
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2013;110.051
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2012;76.617
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2011;15.345
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2010;88.598
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2009;89.452
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2008;102.082
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2007;86.929
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2006;159.566
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2005;157.380
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2004;135.494
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2003;174.120
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2002;256.982
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2001;200.258
Total Nacional;10 Comunitat Valenciana;Aguas superficiales;2000;200.492
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2022;116.198
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2020;221.006
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2018;248.997
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2016;247.026
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2014;257.471
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2013;199.430
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2012;212.993
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2011;275.878
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2010;343.725
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2009;368.130
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2008;454.705
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2007;410.129
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2006;268.277
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2005;200.605
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2004;268.077
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2003;292.001
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2002;186.471
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2001;244.213
Total Nacional;10 Comunitat Valenciana;Aguas subterráneas;2000;261.772
Total Nacional;10 Comunitat Valenciana;Desalación;2022;45.087
Total Nacional;10 Comunitat Valenciana;Desalación;2020;11.494
Total Nacional;10 Comunitat Valenciana;Desalación;2018;3.156
Total Nacional;10 Comunitat Valenciana;Desalación;2016;5.707
Total Nacional;10 Comunitat Valenciana;Desalación;2014;4.025
Total Nacional;10 Comunitat Valenciana;Desalación;2013;2.462
Total Nacional;10 Comunitat Valenciana;Desalación;2012;5.523
Total Nacional;10 Comunitat Valenciana;Desalación;2011;172
Total Nacional;10 Comunitat Valenciana;Desalación;2010;75
Total Nacional;10 Comunitat Valenciana;Desalación;2009;185
Total Nacional;10 Comunitat Valenciana;Desalación;2008;10.176
Total Nacional;10 Comunitat Valenciana;Desalación;2007;14.239
Total Nacional;10 Comunitat Valenciana;Desalación;2006;16.241
Total Nacional;10 Comunitat Valenciana;Desalación;2005;18.894
Total Nacional;10 Comunitat Valenciana;Desalación;2004;19.127
Total Nacional;10 Comunitat Valenciana;Desalación;2003;22.660
Total Nacional;10 Comunitat Valenciana;Desalación;2002;4.401
Total Nacional;10 Comunitat Valenciana;Desalación;2001;1.243
Total Nacional;10 Comunitat Valenciana;Desalación;2000;692
Total Nacional;11 Extremadura;Total;2022;34.358
Total Nacional;11 Extremadura;Total;2020;55.130
Total Nacional;11 Extremadura;Total;2018;41.486
Total Nacional;11 Extremadura;Total;2016;48.979
Total Nacional;11 Extremadura;Total;2014;91.032
Total Nacional;11 Extremadura;Total;2013;94.318
Total Nacional;11 Extremadura;Total;2012;87.525
Total Nacional;11 Extremadura;Total;2011;85.477
Total Nacional;11 Extremadura;Total;2010;94.241
Total Nacional;11 Extremadura;Total;2009;99.202
Total Nacional;11 Extremadura;Total;2008;142.113
Total Nacional;11 Extremadura;Total;2007;150.332
Total Nacional;11 Extremadura;Total;2006;150.372
Total Nacional;11 Extremadura;Total;2005;159.294
Total Nacional;11 Extremadura;Total;2004;155.002
Total Nacional;11 Extremadura;Total;2003;86.199
Total Nacional;11 Extremadura;Total;2002;101.186
Total Nacional;11 Extremadura;Total;2001;120.736
Total Nacional;11 Extremadura;Total;2000;132.168
Total Nacional;11 Extremadura;Aguas superficiales;2022;30.071
Total Nacional;11 Extremadura;Aguas superficiales;2020;49.717
Total Nacional;11 Extremadura;Aguas superficiales;2018;34.603
Total Nacional;11 Extremadura;Aguas superficiales;2016;44.557
Total Nacional;11 Extremadura;Aguas superficiales;2014;83.507
Total Nacional;11 Extremadura;Aguas superficiales;2013;78.191
Total Nacional;11 Extremadura;Aguas superficiales;2012;80.535
Total Nacional;11 Extremadura;Aguas superficiales;2011;75.062
Total Nacional;11 Extremadura;Aguas superficiales;2010;87.195
Total Nacional;11 Extremadura;Aguas superficiales;2009;97.373
Total Nacional;11 Extremadura;Aguas superficiales;2008;141.059
Total Nacional;11 Extremadura;Aguas superficiales;2007;141.535
Total Nacional;11 Extremadura;Aguas superficiales;2006;140.453
Total Nacional;11 Extremadura;Aguas superficiales;2005;149.820
Total Nacional;11 Extremadura;Aguas superficiales;2004;130.441
Total Nacional;11 Extremadura;Aguas superficiales;2003;65.072
Total Nacional;11 Extremadura;Aguas superficiales;2002;70.718
Total Nacional;11 Extremadura;Aguas superficiales;2001;79.729
Total Nacional;11 Extremadura;Aguas superficiales;2000;118.573
Total Nacional;11 Extremadura;Aguas subterráneas;2022;4.287
Total Nacional;11 Extremadura;Aguas subterráneas;2020;5.413
Total Nacional;11 Extremadura;Aguas subterráneas;2018;6.883
Total Nacional;11 Extremadura;Aguas subterráneas;2016;4.422
Total Nacional;11 Extremadura;Aguas subterráneas;2014;7.525
Total Nacional;11 Extremadura;Aguas subterráneas;2013;16.127
Total Nacional;11 Extremadura;Aguas subterráneas;2012;6.990
Total Nacional;11 Extremadura;Aguas subterráneas;2011;10.415
Total Nacional;11 Extremadura;Aguas subterráneas;2010;7.046
Total Nacional;11 Extremadura;Aguas subterráneas;2009;1.829
Total Nacional;11 Extremadura;Aguas subterráneas;2008;1.054
Total Nacional;11 Extremadura;Aguas subterráneas;2007;8.797
Total Nacional;11 Extremadura;Aguas subterráneas;2006;9.919
Total Nacional;11 Extremadura;Aguas subterráneas;2005;9.474
Total Nacional;11 Extremadura;Aguas subterráneas;2004;24.561
Total Nacional;11 Extremadura;Aguas subterráneas;2003;21.127
Total Nacional;11 Extremadura;Aguas subterráneas;2002;30.468
Total Nacional;11 Extremadura;Aguas subterráneas;2001;41.007
Total Nacional;11 Extremadura;Aguas subterráneas;2000;13.595
Total Nacional;11 Extremadura;Desalación;2022;0
Total Nacional;11 Extremadura;Desalación;2020;0
Total Nacional;11 Extremadura;Desalación;2018;0
Total Nacional;11 Extremadura;Desalación;2016;0
Total Nacional;11 Extremadura;Desalación;2014;0
Total Nacional;11 Extremadura;Desalación;2013;0
Total Nacional;11 Extremadura;Desalación;2012;0
Total Nacional;11 Extremadura;Desalación;2011;0
Total Nacional;11 Extremadura;Desalación;2010;0
Total Nacional;11 Extremadura;Desalación;2009;0
Total Nacional;11 Extremadura;Desalación;2008;0
Total Nacional;11 Extremadura;Desalación;2007;0
Total Nacional;11 Extremadura;Desalación;2006;0
Total Nacional;11 Extremadura;Desalación;2005;0
Total Nacional;11 Extremadura;Desalación;2004;0
Total Nacional;11 Extremadura;Desalación;2003;0
Total Nacional;11 Extremadura;Desalación;2002;0
Total Nacional;11 Extremadura;Desalación;2001;0
Total Nacional;11 Extremadura;Desalación;2000;0
Total Nacional;12 Galicia;Total;2022;341.648
Total Nacional;12 Galicia;Total;2020;242.372
Total Nacional;12 Galicia;Total;2018;231.353
Total Nacional;12 Galicia;Total;2016;257.881
Total Nacional;12 Galicia;Total;2014;281.447
Total Nacional;12 Galicia;Total;2013;282.643
Total Nacional;12 Galicia;Total;2012;282.964
Total Nacional;12 Galicia;Total;2011;259.478
Total Nacional;12 Galicia;Total;2010;272.322
Total Nacional;12 Galicia;Total;2009;267.991
Total Nacional;12 Galicia;Total;2008;261.077
Total Nacional;12 Galicia;Total;2007;255.990
Total Nacional;12 Galicia;Total;2006;250.852
Total Nacional;12 Galicia;Total;2005;264.953
Total Nacional;12 Galicia;Total;2004;295.526
Total Nacional;12 Galicia;Total;2003;307.761
Total Nacional;12 Galicia;Total;2002;305.066
Total Nacional;12 Galicia;Total;2001;301.919
Total Nacional;12 Galicia;Total;2000;299.400
Total Nacional;12 Galicia;Aguas superficiales;2022;312.286
Total Nacional;12 Galicia;Aguas superficiales;2020;224.893
Total Nacional;12 Galicia;Aguas superficiales;2018;213.094
Total Nacional;12 Galicia;Aguas superficiales;2016;246.670
Total Nacional;12 Galicia;Aguas superficiales;2014;261.276
Total Nacional;12 Galicia;Aguas superficiales;2013;252.137
Total Nacional;12 Galicia;Aguas superficiales;2012;258.293
Total Nacional;12 Galicia;Aguas superficiales;2011;247.530
Total Nacional;12 Galicia;Aguas superficiales;2010;267.145
Total Nacional;12 Galicia;Aguas superficiales;2009;259.922
Total Nacional;12 Galicia;Aguas superficiales;2008;249.137
Total Nacional;12 Galicia;Aguas superficiales;2007;239.968
Total Nacional;12 Galicia;Aguas superficiales;2006;214.073
Total Nacional;12 Galicia;Aguas superficiales;2005;253.074
Total Nacional;12 Galicia;Aguas superficiales;2004;264.912
Total Nacional;12 Galicia;Aguas superficiales;2003;235.155
Total Nacional;12 Galicia;Aguas superficiales;2002;254.819
Total Nacional;12 Galicia;Aguas superficiales;2001;272.159
Total Nacional;12 Galicia;Aguas superficiales;2000;264.733
