Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2018;4.892
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2016;5.176
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2014;5.137
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2013;5.419
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;03 Asturias, Principado de;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;11.978
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;18.097
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;22.850
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;20.184
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;40.565
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;17.843
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;24.173
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;23.739
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;03 Asturias, Principado de;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2022;333.591
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2020;309.685
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2018;341.865
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2016;313.241
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2014;335.193
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2013;396.379
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2012;394.772
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2011;377.398
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2010;280.047
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2009;301.103
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2008;291.718
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2007;323.705
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2006;367.836
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2005;452.976
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2004;331.908
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2003;178.939
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2002;172.067
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2001;146.948
Total Nacional;04 Balears, Illes;Volumen de aguas residuales tratadas;2000;183.892
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2022;61.968
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2020;140.682
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2018;116.320
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2016;103.425
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2014;152.471
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2013;191.227
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2012;117.870
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2011;109.696
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2010;95.389
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2009;125.859
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2008;99.600
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2007;108.131
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2006;131.771
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2005;149.732
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2004;101.280
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2003;51.043
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2002;64.486
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2001;64.181
Total Nacional;04 Balears, Illes;Volumen total de agua reutilizada;2000;101.197
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2022;73.923
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2020;98.223
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2018;102.507
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2016;97.948
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2014;95.166
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2013;93.396
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2012;87.038
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2011;68.648
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2010;104.159
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2009;70.022
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2008;77.942
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2007;74.987
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2006;63.386
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2005;49.364
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2004;36.101
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2003;38.704
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2002;41.763
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2001;41.521
Total Nacional;04 Balears, Illes;Importe facturado por alcantarillado y depuración;2000;34.450
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2022;2.658
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2020;3.889
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2018;3.622
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2016;3.720
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2014;3.684
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2013;3.672
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;04 Balears, Illes;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;98.368
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;44.619
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;32.272
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;44.490
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;19.743
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;25.153
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;35.739
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;34.446
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;04 Balears, Illes;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2022;373.856
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2020;318.386
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2018;282.590
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2016;341.769
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2014;382.674
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2013;330.186
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2012;367.286
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2011;341.566
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2010;339.630
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2009;357.252
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2008;340.174
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2007;297.974
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2006;297.054
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2005;258.900
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2004;209.647
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2003;224.998
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2002;207.657
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2001;166.612
Total Nacional;05 Canarias;Volumen de aguas residuales tratadas;2000;181.895
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2022;104.805
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2020;75.336
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2018;61.711
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2016;67.962
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2014;75.968
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2013;69.611
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2012;85.344
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2011;85.282
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2010;86.956
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2009;96.292
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2008;90.876
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2007;90.327
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2006;166.195
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2005;81.013
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2004;81.777
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2003;117.996
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2002;102.440
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2001;78.132
Total Nacional;05 Canarias;Volumen total de agua reutilizada;2000;98.737
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2022;74.174
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2020;54.208
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2018;55.701
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2016;62.441
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2014;53.816
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2013;59.199
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2012;63.488
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2011;65.149
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2010;55.936
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2009;56.709
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2008;48.350
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2007;56.882
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2006;47.493
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2005;44.236
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2004;47.324
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2003;37.347
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2002;33.460
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2001;28.758
Total Nacional;05 Canarias;Importe facturado por alcantarillado y depuración;2000;25.916
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2022;4.691
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2020;5.469
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2018;6.197
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2016;5.424
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2014;5.562
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2013;8.188
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;05 Canarias;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;25.679
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;22.245
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;21.815
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;17.405
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;25.497
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;17.006
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;62.344
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;30.602
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;05 Canarias;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2022;874.605
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2020;293.290
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2018;349.650
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2016;319.351
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2014;266.992
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2013;286.585
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2012;257.359
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2011;245.869
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2010;279.236
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2009;243.190
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2008;254.799
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2007;223.436
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2006;283.538
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2005;287.291
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2004;204.618
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2003;85.211
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2002;65.373
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2001;49.138
Total Nacional;06 Cantabria;Volumen de aguas residuales tratadas;2000;85.939
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2022;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2020;4.911
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2018;3.910
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2016;5.486
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2014;5.337
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2013;5.636
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2012;10.413
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2011;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2010;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2009;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2008;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2007;0
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2006;3.442
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2005;3.431
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2004;2.715
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2003;11.843
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2002;753
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2001;318
Total Nacional;06 Cantabria;Volumen total de agua reutilizada;2000;0
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2022;29.029
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2020;40.967
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2018;35.835
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2016;37.354
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2014;36.131
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2013;31.060
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2012;26.833
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2011;28.593
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2010;23.743
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2009;21.374
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2008;20.232
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2007;19.598
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2006;14.217
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2005;14.526
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2004;13.210
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2003;13.771
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2002;12.508
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2001;12.187
Total Nacional;06 Cantabria;Importe facturado por alcantarillado y depuración;2000;12.447
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2022;3.903
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2020;2.347
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2018;2.305
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2016;2.405
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2014;2.473
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2013;2.569
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;06 Cantabria;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;21.472
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;22.301
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;24.066
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;24.582
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;66.904
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;22.498
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;32.991
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;48.602
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;06 Cantabria;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;07 Castilla y León;Volumen de aguas residuales tratadas;2022;1.400.261
