Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2022;1.637.261
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2020;1.915.525
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2018;2.113.908
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2016;1.912.804
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2014;2.005.740
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2013;2.073.031
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2012;2.330.840
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2011;2.256.741
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2010;1.838.496
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2009;1.566.714
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2008;1.488.514
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2007;1.387.265
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2006;1.767.317
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2005;1.745.600
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2004;1.996.737
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2003;1.642.305
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2002;1.543.520
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2001;1.581.312
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2000;1.526.363
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2022;89.149
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2020;99.968
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2018;101.541
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2016;113.471
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2014;157.083
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2013;172.260
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2012;240.384
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2011;313.820
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2010;338.035
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2009;326.892
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2008;264.917
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2007;333.936
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2006;124.125
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2005;130.757
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2004;143.990
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2003;106.897
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2002;100.443
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2001;70.547
Total Nacional;01 Andalucía;Volumen total de agua reutilizada;2000;115.005
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2022;507.257
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2020;454.552
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2018;426.852
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2016;390.594
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2014;418.635
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2013;381.132
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2012;374.806
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2011;331.882
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2010;296.192
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2009;284.071
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2008;267.801
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2007;283.755
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2006;244.127
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2005;275.825
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2004;242.715
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2003;169.640
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2002;147.016
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2001;140.699
Total Nacional;01 Andalucía;Importe facturado por alcantarillado y depuración;2000;138.425
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2022;34.145
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2020;32.269
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2018;30.621
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2016;30.771
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2014;32.042
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2013;30.746
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;01 Andalucía;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;237.566
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;205.899
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;233.977
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;230.688
Total Nacional;01 Andalucía;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;232.900
